track_genre,count
acoustic,1000
punk-rock,1000
progressive-house,1000
power-pop,1000
pop,1000
pop-film,1000
piano,1000
party,1000
pagode,1000
opera,1000
new-age,1000
mpb,1000
minimal-techno,1000
metalcore,1000
metal,1000
mandopop,1000
malay,1000
latino,1000
latin,1000
kids,1000
k-pop,1000
jazz,1000
j-rock,1000
j-pop,1000
j-idol,1000
j-dance,1000
iranian,1000
psych-rock,1000
punk,1000
afrobeat,1000
r-n-b,1000
turkish,1000
trip-hop,1000
trance,1000
techno,1000
tango,1000
synth-pop,1000
swedish,1000
study,1000
spanish,1000
soul,1000
songwriter,1000
sleep,1000
ska,1000
singer-songwriter,1000
show-tunes,1000
sertanejo,1000
samba,1000
salsa,1000
sad,1000
romance,1000
rockabilly,1000
rock,1000
rock-n-roll,1000
reggaeton,1000
reggae,1000
industrial,1000
indie,1000
indie-pop,1000
indian,1000
disney,1000
disco,1000
detroit-techno,1000
deep-house,1000
death-metal,1000
dancehall,1000
dance,1000
country,1000
comedy,1000
club,1000
classical,1000
chill,1000
children,1000
chicago-house,1000
cantopop,1000
british,1000
breakbeat,1000
brazil,1000
blues,1000
bluegrass,1000
black-metal,1000
anime,1000
ambient,1000
alternative,1000
alt-rock,1000
drum-and-bass,1000
dub,1000
dubstep,1000
groove,1000
idm,1000
house,1000
honky-tonk,1000
hip-hop,1000
heavy-metal,1000
hardstyle,1000
hardcore,1000
hard-rock,1000
happy,1000
guitar,1000
grunge,1000
grindcore,1000
edm,1000
goth,1000
gospel,1000
german,1000
garage,1000
funk,1000
french,1000
forro,1000
folk,1000
emo,1000
electronic,1000
electro,1000
world-music,1000
